,theta,size_r,r,stp_size,stp_pos_y,p,t_p,x0,y0,x1,y1,rt,response,soa,rt_start,name,sex,age,distance
0,135,0.55,14,0.5,-7,90.20166015625001,0.6868549000937492,0.0915625,-7.164765624999999,-9.453828125,2.723984375,0.6647751000709832,hit,0.1,0.6484988001175225,a,a,a,50
1,45,0.28,14,0.5,-7,31.973632812499996,1.1873441999778152,-0.16023437499999998,-6.729843750000001,-0.16023437499999998,-6.729843750000001,0.7135017002001405,no_response,0.1,0.6969566000625491,a,a,a,50
2,45,0.28,14,0.5,-7,91.203125,0.6080749998800457,0.25179687500000003,-6.91296875,0.25179687500000003,-6.91296875,0.7137674000114202,no_response,0.1,0.6969745000824332,a,a,a,50
3,135,0.75,14,0.5,-7,100.0,0.6746843000873923,0.27468750000000003,-7.27921875,-9.728515625,2.88421875,0.6297301000449806,hit,0.1,0.6132304999046028,a,a,a,50
4,135,0.39,14,0.5,-7,62.3037109375,0.6047191999386996,-0.022890625,-7.347890625000001,-0.022890625,-7.347890625000001,0.7134416999761015,no_response,0.1,0.6967250998131931,a,a,a,50
5,135,0.55,14,0.5,-7,84.76513671875,0.5883944998495281,-0.06867187500000001,-7.164765624999999,-9.934531250000001,2.952890625,0.6474332998041064,hit,0.1,0.6301982998847961,a,a,a,50
6,45,0.39,14,0.5,-7,64.0205078125,0.6061174999922514,0.06867187500000001,-7.09609375,0.06867187500000001,-7.09609375,0.7129214000888169,no_response,0.1,0.695825100177899,a,a,a,50
7,135,0.75,14,0.5,-7,97.06884765625,0.5872675999999046,0.06867187500000001,-7.187656250000001,-9.75140625,2.97578125,0.6797203000169247,hit,0.1,0.6623660000041127,a,a,a,50
8,45,0.39,14,0.5,-7,27.681640624999996,0.8224428999237716,0.04578125,-7.118984375000001,0.04578125,-7.118984375000001,0.7116990999784321,no_response,0.1,0.695540799992159,a,a,a,50
9,45,0.2,14,0.5,-7,0.0,0.6688409999478608,0.41203124999999996,-7.073203125000001,0.41203124999999996,-7.073203125000001,0.7133151001762599,no_response,0.1,0.6961871001403779,a,a,a,50
10,135,0.2,14,0.5,-7,5.649414062500002,0.7076656999997795,-0.022890625,-7.004531250000001,-10.209218750000002,2.8384375000000004,0.6642522001639009,miss,0.1,0.6474503001663834,a,a,a,50
11,45,0.55,14,0.5,-7,100.0,0.7868561998475343,0.32046874999999997,-6.91296875,10.438125000000001,3.3878125000000003,0.6803518000524491,miss,0.1,0.6641106999013573,a,a,a,50
12,45,0.75,14,0.5,-7,94.064453125,0.8343164999969304,0.04578125,-7.141875000000001,0.04578125,-7.141875000000001,0.7130521999206394,no_response,0.1,0.6963464999571443,a,a,a,50
13,45,0.55,14,0.5,-7,86.052734375,0.7048277999274433,0.114453125,-7.187656250000001,9.4309375,2.6553125,0.6795574999414384,hit,0.1,0.6633272999897599,a,a,a,50
14,135,0.75,14,0.5,-7,93.2060546875,0.7206441999878734,0.06867187500000001,-6.8900781250000005,-9.545390625,2.9986718750000003,0.6809535000938922,hit,0.1,0.6637337000574917,a,a,a,50
15,45,0.75,14,0.5,-7,12.94580078125,1.1709841000847518,0.022890625,-7.164765624999999,9.56828125,2.4264062500000003,0.7127282000146806,hit,0.1,0.6965297998394817,a,a,a,50
16,135,0.39,14,0.5,-7,29.398437500000004,0.8395666999276727,0.13734375000000001,-7.141875000000001,-9.865859375000001,2.952890625,0.662852399982512,hit,0.1,0.6458543001208454,a,a,a,50
17,135,0.75,14,0.5,-7,83.4775390625,0.6211714001838118,-0.0915625,-7.27921875,-9.705625000000001,3.1589062500000002,0.5621861000545323,hit,0.1,0.5444296000059694,a,a,a,50
18,135,0.55,14,0.5,-7,41.98828125,0.8225794001482427,0.04578125,-7.09609375,-9.636953125000002,3.113125,0.6476480001583695,hit,0.1,0.6300995000638068,a,a,a,50
19,45,0.39,14,0.5,-7,58.15478515625,0.6058972999453545,0.25179687500000003,-7.141875000000001,0.25179687500000003,-7.141875000000001,0.7146982999984175,no_response,0.1,0.6978416999336332,a,a,a,50
20,135,0.28,14,0.5,-7,47.138671875,0.7206931000109762,0.20601562499999998,-7.37078125,-9.9803125,2.746875,0.6802727999165654,hit,0.1,0.6624616999179125,a,a,a,50
21,45,0.39,14,0.5,-7,54.14892578125,0.5229841999243945,0.06867187500000001,-7.37078125,0.06867187500000001,-7.37078125,0.7120732001494616,no_response,0.1,0.6963353001046926,a,a,a,50
22,135,0.2,14,0.5,-7,35.12109375,0.6715138000436127,0.32046874999999997,-7.004531250000001,0.32046874999999997,-7.004531250000001,0.7122428000438958,no_response,0.1,0.695482200011611,a,a,a,50
23,45,0.39,14,0.5,-7,84.3359375,0.8871873000171036,0.27468750000000003,-7.004531250000001,0.27468750000000003,-7.004531250000001,0.7121833998244256,no_response,0.1,0.6960789998993278,a,a,a,50
24,45,0.2,14,0.5,-7,42.8466796875,0.7553772998508066,0.22890625,-6.615390625000001,0.22890625,-6.615390625000001,0.712965999962762,no_response,0.1,0.6963486999738961,a,a,a,50
25,135,0.39,14,0.5,-7,48.283203125,0.5389347998425364,0.13734375000000001,-7.141875000000001,0.13734375000000001,-7.141875000000001,0.7130555000621825,no_response,0.1,0.6968476001638919,a,a,a,50
26,45,0.2,14,0.5,-7,34.8349609375,0.6702720001339912,0.41203124999999996,-6.8671875,0.41203124999999996,-6.8671875,0.7128704998176545,no_response,0.1,0.6965854000300169,a,a,a,50
27,135,0.75,14,0.5,-7,89.05712890625,0.6216569999232888,-0.0915625,-7.004531250000001,-9.6140625,2.907109375,0.6453422999475151,hit,0.1,0.6290615999605507,a,a,a,50
28,45,0.75,14,0.5,-7,83.4775390625,0.7214054001960903,0.04578125,-6.95875,0.04578125,-6.95875,0.7131133999209851,no_response,0.1,0.6969171999953687,a,a,a,50
29,135,0.75,14,0.5,-7,75.4658203125,0.8230613002087921,0.022890625,-7.118984375000001,-9.636953125000002,2.8384375000000004,0.6460922998376191,hit,0.1,0.6296202999074012,a,a,a,50
30,135,0.28,14,0.5,-7,89.486328125,1.1344707999378443,0.16023437499999998,-7.118984375000001,-9.934531250000001,3.06734375,0.6804198999889195,hit,0.1,0.6634528001304716,a,a,a,50
31,135,0.55,14,0.5,-7,91.203125,0.6430869998876005,0.297578125,-7.073203125000001,-10.277890625000001,2.93,0.6296663999091834,hit,0.1,0.6133938999846578,a,a,a,50
32,45,0.28,14,0.5,-7,63.162109375,0.6188729999121279,-0.022890625,-7.187656250000001,-0.022890625,-7.187656250000001,0.7129184999503195,no_response,0.1,0.6965356001164764,a,a,a,50
33,45,0.39,14,0.5,-7,100.0,0.7415808001533151,0.04578125,-6.844296875,0.04578125,-6.844296875,0.7132495001424104,no_response,0.1,0.6968495999462903,a,a,a,50
34,135,0.28,14,0.5,-7,100.0,0.7352123998571187,0.297578125,-6.8671875,-9.6140625,2.93,0.6636811001226306,miss,0.1,0.6469768001697958,a,a,a,50
35,135,0.55,14,0.5,-7,97.2119140625,0.689526799833402,0.0,-7.2563281250000005,-9.705625000000001,2.815546875,0.6473115999251604,hit,0.1,0.6298165998887271,a,a,a,50
36,135,0.28,14,0.5,-7,79.61474609375,0.6222224999219179,0.183125,-7.073203125000001,-10.048984375,2.7697656250000002,0.6621960999909788,hit,0.1,0.6452125001233071,a,a,a,50
