,theta0,theta,size_r,r,stp_size,stp_pos_y,p,t_p,x0,y0,x1,y1,rt,response,soa,name,sex,age,distance
0,135,129,0.2,14,0.5,-7,80.38730468749999,1.4480961000081152,0.44865625000000003,-6.95875,-0.1648125,-6.409375,0.5408984001260251,miss,0.1,a啊,male,21,50
1,45,54,0.2,14,0.5,-7,70.20097656249999,1.0420391999650747,0.1465,-6.812250000000001,-0.49443750000000003,-7.09609375,0.22281130007468164,miss,0.1,a啊,male,21,50
2,135,126,0.75,14,0.5,-7,83.01972656250001,3.113493900047615,0.0183125,-7.0869375,-8.1490625,3.845625,0.6722726000007242,hit,0.1,a啊,male,21,50
3,45,36,0.55,14,0.5,-7,91.14589843750001,1.3759965000208467,-0.04578125,-6.9312812500000005,10.383187500000002,1.0895937500000001,0.6247105000074953,miss,0.1,a啊,male,21,50
4,135,129,0.39,14,0.5,-7,28.71171875,8.384769700001925,0.1465,-7.20596875,0.1465,-7.20596875,0.7167791000101715,no_response,0.1,a啊,male,21,50
5,135,135,0.28,14,0.5,-7,87.655078125,0.9466597998980433,-0.1465,-7.25175,-9.74225,2.9849375000000005,0.6771825000178069,hit,0.1,a啊,male,21,50
6,135,127,0.28,14,0.5,-7,70.0865234375,5.890598600031808,0.21975,-7.0136875,0.21975,-7.0136875,0.7084429000969976,no_response,0.1,a啊,male,21,50
7,135,135,0.55,14,0.5,-7,90.00136718750001,1.0498349000699818,-0.06409375,-7.18765625,-0.06409375,-7.18765625,0.7008208001498133,no_response,0.1,a啊,male,21,50
8,135,132,0.39,14,0.5,-7,94.064453125,2.3997675999999046,0.17396875,-6.793937500000001,-9.40346875,3.0948124999999997,0.6755828000605106,hit,0.1,a啊,male,21,50
9,135,135,0.75,14,0.5,-7,90.9169921875,0.6442648000083864,-0.11903125,-7.2151250000000005,-10.0901875,2.527125,0.4751832999754697,hit,0.1,a啊,male,21,50
10,135,144,0.39,14,0.5,-7,83.2486328125,1.027694100048393,0.38456250000000003,-7.25175,-11.527718750000002,1.3734375,0.6279794001020491,hit,0.1,a啊,male,21,50
11,45,41,0.55,14,0.5,-7,61.960351562499994,1.4088876999448985,0.37540625,-6.8671875,10.767750000000001,2.02353125,0.6421605998184532,hit,0.1,a啊,male,21,50
12,45,39,0.2,14,0.5,-7,21.958984375,2.06697959988378,0.1648125,-6.739,11.06990625,1.7030625000000001,0.6407906000968069,miss,0.1,a啊,male,21,50
13,45,42,0.55,14,0.5,-7,57.210546875,1.1044122998137027,0.0549375,-7.2151250000000005,10.767750000000001,2.6278437500000003,0.6240282999351621,hit,0.1,a啊,male,21,50
14,135,132,0.28,14,0.5,-7,37.18125,1.2735961000435054,0.0549375,-7.114406250000001,-9.440093749999999,3.2138437500000006,0.5408119999337941,hit,0.1,a啊,male,21,50
15,135,139,0.39,14,0.5,-7,79.7578125,0.8764698999002576,-0.036625,-6.80309375,-10.566312500000002,1.8220937499999998,0.4731448998209089,hit,0.1,a啊,male,21,50
16,45,53,0.2,14,0.5,-7,17.380859375,2.9403437001165003,0.00915625,-6.80309375,8.26809375,4.0836875,0.5034739000257105,hit,0.1,a啊,male,21,50
17,45,40,0.55,14,0.5,-7,55.0931640625,1.4828403999563307,0.35709375,-6.894656250000001,10.64871875,1.4558437499999999,0.6399262000340968,miss,0.1,a啊,male,21,50
18,135,125,0.55,14,0.5,-7,62.246484375,5.551576599944383,0.36625,-7.3341562499999995,-7.846906250000001,4.4133125,0.6934202001430094,hit,0.1,a啊,male,21,50
19,45,38,0.28,14,0.5,-7,22.9318359375,7.573407500050962,0.37540625,-7.2334375,11.408687500000001,1.3551250000000001,0.7086092999670655,no_response,0.1,a啊,male,21,50
20,45,38,0.2,14,0.5,-7,35.6361328125,1.6075659000780433,0.1465,-6.9679062499999995,11.427,1.7030625000000001,0.7085667999926955,no_response,0.1,a啊,male,21,50
21,45,43,0.55,14,0.5,-7,78.4416015625,1.2489281999878585,0.21975,-6.85803125,10.28246875,2.38978125,0.5900414998177439,hit,0.1,a啊,male,21,50
22,45,45,0.28,14,0.5,-7,11.372070312499998,1.008661299943924,0.06409375,-6.91296875,0.06409375,-6.91296875,0.7049698999617249,no_response,0.1,a啊,male,21,50
23,135,132,0.55,14,0.5,-7,84.3359375,1.06522349989973,0.37540625,-7.032,-8.89071875,3.3511875000000004,0.5647210001479834,hit,0.1,a啊,male,21,50
24,45,47,0.75,14,0.5,-7,86.22441406250002,1.836604200070724,0.04578125,-7.389093750000001,9.485875,2.41725,0.6247995998710394,miss,0.1,a啊,male,21,50
25,135,135,0.55,14,0.5,-7,60.415234375000004,2.744947100058198,-0.08240625,-6.922124999999999,-9.56828125,2.8109687500000002,0.6060729001183063,hit,0.1,a啊,male,21,50
26,45,39,0.39,14,0.5,-7,52.97578125,1.1909383998718113,0.4395,-6.78478125,0.4395,-6.78478125,0.7062688998412341,no_response,0.1,a啊,male,21,50
27,135,137,0.28,14,0.5,-7,17.495312499999997,0.7314704000018537,0.04578125,-7.068625000000001,-10.28246875,2.5820625,0.6570981999393553,hit,0.1,a啊,male,21,50
28,135,126,0.2,14,0.5,-7,26.4798828125,1.4772814000025392,0.0915625,-7.141875,0.0915625,-7.141875,0.7066558999940753,no_response,0.1,a啊,male,21,50
29,135,144,0.2,14,0.5,-7,13.890039062500003,0.8440636999439448,-0.0549375,-7.160187500000001,-11.161468750000001,1.3734375,0.6402531999628991,miss,0.1,a啊,male,21,50
