,direction,r,size_L,size_R,stage,theta_L,theta_R,type,w_L,w_R,x0,y0,x1,y1,theta_L1,theta_R1,rt,response,score,choose,name,sex,age,distance
0,True,7.0,16,0,phase_1,225,0,v,30,0,-0.25179687500000003,-0.13734375000000001,-5.1274999999999995,-4.9672656250000005,203.99706299998797,0.0,0.0,miss,0,1,lll,1,23,50
1,False,7.0,16,0,phase_1,45,0,v,0,0,-0.25179687500000003,0.0,6.08890625,3.6167187500000004,45.0,0.0,0.0,miss,0,1,lll,1,23,50
2,True,7.0,16,0,phase_1,45,0,v,30,0,0.183125,-0.183125,5.310625,2.2890625,25.99450200003048,0.0,0.0,hit,100,1,lll,1,23,50
3,False,7.0,16,0,phase_1,315,0,v,0,0,0.22890625,0.0,4.051640625,-3.98296875,315.0,0.0,0.0,hit,100,1,lll,1,23,50
4,True,7.0,16,0,phase_1,315,0,v,60,0,0.22890625,-0.06867187500000001,0.5493750000000001,-3.98296875,242.01330000010785,0.0,1.2165872999976273,no_response,-300,1,lll,1,23,50
5,True,7.0,16,0,phase_1,225,0,v,60,0,0.022890625,-0.25179687500000003,0.0,-0.13734375000000001,152.99093999972683,0.0,1.2002957000004244,no_response,-300,1,lll,1,23,50
6,False,7.0,16,0,phase_1,45,0,v,30,0,0.0,-0.13734375000000001,0.0,-0.13734375000000001,81.49265400010336,0.0,1.2165634000048158,no_response,-300,1,lll,1,23,50
7,False,7.0,16,0,phase_1,45,0,v,60,0,0.0,-0.13734375000000001,0.0,-0.13734375000000001,117.01211399995373,0.0,1.2003887000028044,no_response,-300,1,lll,1,23,50
8,False,7.0,16,0,phase_1,315,0,v,30,0,0.0,-0.13734375000000001,0.0,-0.13734375000000001,351.00476999999955,0.0,1.2004111999995075,no_response,-300,1,lll,1,23,50
9,True,7.0,16,0,phase_1,45,0,v,0,0,0.0,-0.13734375000000001,4.16609375,6.08890625,45.0,0.0,0.0,miss,0,1,lll,1,23,50
10,False,7.0,16,0,phase_1,135,0,v,60,0,-0.06867187500000001,0.27468750000000003,-0.06867187500000001,0.25179687500000003,207.04100399991148,0.0,1.2008745999992243,no_response,-300,1,lll,1,23,50
11,True,7.0,16,0,phase_1,45,0,v,30,0,-0.06867187500000001,0.25179687500000003,-0.06867187500000001,0.25179687500000003,8.991651000033016,0.0,1.2004218000001856,no_response,-300,1,lll,1,23,50
12,False,7.0,16,0,phase_1,225,0,v,0,0,-0.06867187500000001,0.25179687500000003,-0.06867187500000001,0.25179687500000003,225.0,0.0,1.2005752000040957,no_response,-300,1,lll,1,23,50
