,theta,size_r,r,stp_size,stp_pos_y,p,t_p,x0,y0,x1,y1,rt,response,soa,name,sex,age,distance
0,45,1.0,10,0.5,-3,63.30517578125,2.7382986000011442,0.13734375000000001,-2.97578125,6.8900781250000005,3.98296875,0.5936854000028688,hit,0.3,s,s,s,50
1,135,1.2,10,0.5,-3,12.65966796875,1.785303800003021,0.16023437499999998,-3.044453125,-7.0503124999999995,3.8685156249999997,0.7309022999979788,hit,0.2,s,s,s,50
2,90,0.2,10,0.5,-3,1.786621093749996,2.9045619999960763,0.06867187500000001,-2.93,0.04578125,7.0503124999999995,0.964289399998961,hit,0.1,s,s,s,50
3,45,1.2,10,0.5,-3,71.173828125,2.1173921000008704,0.06867187500000001,-3.090234375,6.6840625000000005,3.5709375000000003,0.4969229999987874,hit,0.3,s,s,s,50
4,45,1.0,10,0.5,-3,3.217285156249999,1.7524435999948764,-0.20601562499999998,-3.0215625,6.82140625,3.639609375,0.44753160000254866,hit,0.3,s,s,s,50
5,90,0.6,10,0.5,-3,65.451171875,3.4572542999958387,0.434921875,-2.861328125,0.16023437499999998,6.6840625000000005,0.6801199999899836,hit,0.1,s,s,s,50
6,135,0.6,10,0.5,-3,69.88623046875,4.435862800004543,0.022890625,-2.9986718750000003,-7.141875000000001,4.188984375,0.4622569999919506,hit,0.3,s,s,s,50
7,135,0.2,10,0.5,-3,6.9370117187499964,2.990965499993763,0.183125,-3.06734375,-6.981640625,4.097421875,0.8804901000112295,hit,0.1,s,s,s,50
8,45,0.6,10,0.5,-3,67.4541015625,3.452084000004106,0.13734375000000001,-3.044453125,7.073203125000001,3.89140625,0.5460075000009965,hit,0.2,s,s,s,50
9,45,0.2,10,0.5,-3,3.50341796875,2.0903135999978986,-0.22890625,-2.907109375,7.027421875,4.1203125,0.8804358999914257,hit,0.1,s,s,s,50
10,90,0.4,10,0.5,-3,81.1884765625,6.300735500000883,0.22890625,-3.2046875,0.25179687500000003,6.935859375,0.7638979999901494,hit,0.1,s,s,s,50
11,45,0.4,10,0.5,-3,31.973632812499996,1.75158029999875,-0.022890625,-2.815546875,7.073203125000001,4.097421875,0.5298533999884967,hit,0.3,s,s,s,50
