,theta,target_x,target_y,jitter,size_r,width,height,ori,r,stp_size,stp_pos_y,id,p,t_p,x0,y0,x1,y1,rt,response,soa,points,name,sex,age,distance,t_bound
0,135,-9.050966799187808,2.6509667991878096,0,0.24,0.24,0.96,1,12.8,0.5,-6.4,0,73.8634765625,14.004958200035617,0.28384375,-6.446000000000001,-9.119625,2.51796875,0.8217333999928087,no_response,0.1,-50,sd,male,21,50,0.6
1,135,-9.050966799187808,2.6509667991878096,0,0.36,0.36,1.44,1,12.8,0.5,-6.4,1,86.85390625,0.6407516000326723,0.08240625,-6.2811875,-9.028062499999999,2.5454375000000002,0.4083092000801116,hit,0.1,100,sd,male,21,50,0.6
2,45,9.05096679918781,2.6509667991878096,0,0.24,0.24,0.96,1,12.8,0.5,-6.4,2,93.4921875,0.8745573000051081,-0.28384375,-6.51925,9.1013125,2.6278437500000003,0.4069978999905288,hit,0.1,100,sd,male,21,50,0.6
3,135,-9.050966799187808,2.6509667991878096,0,0.24,0.24,0.96,1,12.8,0.5,-6.4,3,92.8626953125,1.0176124998833984,0.109875,-6.290343750000001,-9.01890625,2.7285625,0.456721100024879,hit,0.1,100,sd,male,21,50,0.6
4,45,9.05096679918781,2.6509667991878096,0,0.36,0.36,1.44,0,12.8,0.5,-6.4,4,100.0,0.8739579000975937,-0.00915625,-6.3178125,9.25696875,2.13340625,0.2898401999846101,miss,0.1,48,sd,male,21,50,0.6
5,45,9.05096679918781,2.6509667991878096,0,0.24,0.24,0.96,0,12.8,0.5,-6.4,5,66.9962890625,0.9476344999857247,0.07325,-6.446000000000001,9.38515625,2.27075,0.37385380011983216,miss,0.1,48,sd,male,21,50,0.6
6,45,9.05096679918781,2.6509667991878096,0,0.36,0.36,1.44,0,12.8,0.5,-6.4,6,97.15468750000001,0.6097010998055339,0.17396875,-6.4002187500000005,8.76253125,3.2779374999999997,0.32284860010258853,miss,0.1,47,sd,male,21,50,0.6
7,45,9.05096679918781,2.6509667991878096,0,0.24,0.24,0.96,1,12.8,0.5,-6.4,7,75.40859375,0.8562872998882085,-0.15565625,-6.427687500000001,9.51334375,2.8018125000000005,0.36938820010982454,miss,0.1,48,sd,male,21,50,0.6
8,45,9.05096679918781,2.6509667991878096,0,0.24,0.24,0.96,1,12.8,0.5,-6.4,8,89.944140625,0.698412099853158,-0.02746875,-6.45515625,9.64153125,2.86590625,0.33847389998845756,miss,0.1,48,sd,male,21,50,0.6
9,135,-9.050966799187808,2.6509667991878096,0,0.24,0.24,0.96,0,12.8,0.5,-6.4,9,89.7724609375,0.6813417999073863,-0.06409375,-6.71153125,-8.92734375,2.7835,0.3776367998216301,hit,0.1,99,sd,male,21,50,0.6
10,135,-9.050966799187808,2.6509667991878096,0,0.48,0.48,1.92,0,12.8,0.5,-6.4,10,95.55234374999999,1.2012809000443667,0.21059375,-6.409375,-8.90903125,3.25046875,0.37556239985860884,miss,0.1,48,sd,male,21,50,0.6
11,135,-9.050966799187808,2.6509667991878096,0,0.36,0.36,1.44,0,12.8,0.5,-6.4,11,96.5251953125,0.697975300019607,0.13734375,-6.32696875,-9.31190625,2.6186875000000005,0.4440977999474853,hit,0.1,99,sd,male,21,50,0.6
12,135,-9.050966799187808,2.6509667991878096,0,0.48,0.48,1.92,1,12.8,0.5,-6.4,12,96.41074218749999,0.5775513998232782,0.1648125,-6.58334375,-9.84296875,3.6441874999999997,0.2218396000098437,miss,0.1,45,sd,male,21,50,0.6
13,45,9.05096679918781,2.6509667991878096,0,0.48,0.48,1.92,0,12.8,0.5,-6.4,13,92.57656250000001,0.4078721001278609,-0.10071875000000001,-6.0980625,9.34853125,3.14975,0.3527716000098735,miss,0.1,48,sd,male,21,50,0.6
14,45,9.05096679918781,2.6509667991878096,0,0.24,0.24,0.96,0,12.8,0.5,-6.4,14,87.02558593750001,0.6225678001064807,-0.1465,-6.427687500000001,9.0646875,2.8750625000000003,0.37324970006011426,miss,0.1,49,sd,male,21,50,0.6
15,45,9.05096679918781,2.6509667991878096,0,0.48,0.48,1.92,1,12.8,0.5,-6.4,15,88.9140625,0.8800573998596519,-0.08240625,-6.3544375,8.9181875,2.600375,0.4028888999018818,hit,0.1,99,sd,male,21,50,0.6
16,135,-9.050966799187808,2.6509667991878096,0,0.48,0.48,1.92,0,12.8,0.5,-6.4,16,81.53183593749999,1.0973672999534756,0.15565625,-6.0339687500000005,0.15565625,-6.0339687500000005,0.8102388000115752,no_response,0.1,-50,sd,male,21,50,0.6
17,135,-9.050966799187808,2.6509667991878096,0,0.24,0.24,0.96,0,12.8,0.5,-6.4,17,93.83554687499999,0.49538860004395247,-0.33878125000000003,-6.5650312500000005,-9.128781250000001,2.6919375000000003,0.5395473998505622,hit,0.1,100,sd,male,21,50,0.6
18,45,9.05096679918781,2.6509667991878096,0,0.36,0.36,1.44,0,12.8,0.5,-6.4,18,92.69101562499999,0.7010218999348581,0.19228125000000001,-6.528406250000001,10.447281250000001,2.84759375,0.3188050000462681,miss,0.1,44,sd,male,21,50,0.6
19,135,-9.050966799187808,2.6509667991878096,0,0.36,0.36,1.44,0,12.8,0.5,-6.4,19,97.32636718750001,0.6161398999392986,0.15565625,-6.2811875,-9.01890625,2.8109687500000002,0.4389988000039011,hit,0.1,99,sd,male,21,50,0.6
20,45,9.05096679918781,2.6509667991878096,0,0.48,0.48,1.92,0,12.8,0.5,-6.4,20,86.281640625,0.6827718999702483,0.15565625,-6.85803125,0.15565625,-6.85803125,0.8049940001219511,no_response,0.1,-50,sd,male,21,50,0.6
21,135,-9.050966799187808,2.6509667991878096,0,0.36,0.36,1.44,0,12.8,0.5,-6.4,21,94.63671875,0.8926705000922084,0.28384375,-6.22625,-9.31190625,2.53628125,0.42401299998164177,hit,0.1,99,sd,male,21,50,0.6
22,45,9.05096679918781,2.6509667991878096,0,0.48,0.48,1.92,0,12.8,0.5,-6.4,22,90.401953125,0.9649709998629987,0.21975,-6.47346875,9.71478125,3.03071875,0.37499099993146956,miss,0.1,47,sd,male,21,50,0.6
23,45,9.05096679918781,2.6509667991878096,0,0.48,0.48,1.92,1,12.8,0.5,-6.4,23,84.679296875,0.8102636998519301,0.32046875,-6.37275,9.64153125,2.5729062500000004,0.6066761000547558,no_response,0.1,-50,sd,male,21,50,0.6
24,45,9.05096679918781,2.6509667991878096,0,0.36,0.36,1.44,1,12.8,0.5,-6.4,24,87.3689453125,0.578003800008446,-0.036625,-6.207937500000001,9.09215625,2.2158125,0.4272888000123203,miss,0.1,48,sd,male,21,50,0.6
25,135,-9.050966799187808,2.6509667991878096,0,0.48,0.48,1.92,1,12.8,0.5,-6.4,25,87.99843750000001,1.444360899971798,0.21975,-6.015656250000001,-9.11046875,3.50684375,0.7907827000599355,no_response,0.1,-50,sd,male,21,50,0.6
26,45,9.05096679918781,2.6509667991878096,0,0.24,0.24,0.96,1,12.8,0.5,-6.4,26,90.17304687500001,0.5165430000051856,-0.39371875,-6.610812500000001,9.51334375,2.9483125,0.4927878000307828,miss,0.1,48,sd,male,21,50,0.6
27,135,-9.050966799187808,2.6509667991878096,0,0.48,0.48,1.92,0,12.8,0.5,-6.4,27,83.99257812500001,0.491134500131011,0.183125,-6.3544375,-9.14709375,2.71940625,0.5081006998661906,hit,0.1,100,sd,male,21,50,0.6
28,45,9.05096679918781,2.6509667991878096,0,0.24,0.24,0.96,1,12.8,0.5,-6.4,28,72.20390624999999,0.6451899001840502,-0.0915625,-6.5558749999999995,8.8815625,2.79265625,0.40798670006915927,miss,0.1,49,sd,male,21,50,0.6
29,135,-9.050966799187808,2.6509667991878096,0,0.48,0.48,1.92,1,12.8,0.5,-6.4,29,86.68222656249999,1.3132481998763978,0.08240625,-6.427687500000001,-9.5041875,2.966625,0.5565599000547081,hit,0.1,98,sd,male,21,50,0.6
30,135,-9.050966799187808,2.6509667991878096,0,0.48,0.48,1.92,0,12.8,0.5,-6.4,30,89.02851562500001,0.676682700170204,0.32046875,-6.08890625,-8.68928125,3.2779374999999997,0.4916397000197321,hit,0.1,97,sd,male,21,50,0.6
31,45,9.05096679918781,2.6509667991878096,0,0.48,0.48,1.92,0,12.8,0.5,-6.4,31,89.25742187499999,0.5260613998398185,0.06409375,-6.253718750000001,9.78803125,3.0398750000000003,0.3899688001256436,miss,0.1,47,sd,male,21,50,0.6
32,45,9.05096679918781,2.6509667991878096,0,0.36,0.36,1.44,1,12.8,0.5,-6.4,32,96.124609375,0.46510050003416836,0.08240625,-6.23540625,8.79,2.820125,0.3743457000236958,miss,0.1,49,sd,male,21,50,0.6
33,135,-9.050966799187808,2.6509667991878096,0,0.36,0.36,1.44,0,12.8,0.5,-6.4,33,90.3447265625,1.1126042001415044,-0.20143750000000002,-6.43684375,-8.6435,2.51796875,0.48092469992116094,miss,0.1,48,sd,male,21,50,0.6
34,135,-9.050966799187808,2.6509667991878096,0,0.36,0.36,1.44,0,12.8,0.5,-6.4,34,93.4349609375,0.9878389998339117,0.1465,-6.32696875,-8.973125,2.4355625,0.42356329993344843,miss,0.1,49,sd,male,21,50,0.6
35,135,-9.050966799187808,2.6509667991878096,0,0.24,0.24,0.96,0,12.8,0.5,-6.4,35,85.594921875,0.7411627001129091,0.1465,-6.7206875,-8.83578125,3.2230000000000003,0.7916043000295758,no_response,0.1,-50,sd,male,21,50,0.6
36,135,-9.050966799187808,2.6509667991878096,0,0.24,0.24,0.96,1,12.8,0.5,-6.4,36,91.9470703125,0.49503959994763136,0.28384375,-6.528406250000001,-8.954812500000001,2.6919375000000003,0.520372899947688,hit,0.1,100,sd,male,21,50,0.6
37,45,9.05096679918781,2.6509667991878096,0,0.36,0.36,1.44,1,12.8,0.5,-6.4,37,82.50468749999999,0.5638033000286669,0.08240625,-6.37275,9.266125,2.8109687500000002,0.45768929994665086,hit,0.1,99,sd,male,21,50,0.6
38,45,9.05096679918781,2.6509667991878096,0,0.36,0.36,1.44,1,12.8,0.5,-6.4,38,82.33300781249999,0.5315074999816716,0.04578125,-6.4826250000000005,9.852125,2.60953125,0.3585511001292616,miss,0.1,47,sd,male,21,50,0.6
39,45,9.05096679918781,2.6509667991878096,0,0.24,0.24,0.96,0,12.8,0.5,-6.4,39,86.968359375,0.4452157998457551,0.00915625,-6.2995,9.53165625,2.8109687500000002,0.42565379990264773,miss,0.1,48,sd,male,21,50,0.6
40,45,9.05096679918781,2.6509667991878096,0,0.24,0.24,0.96,0,12.8,0.5,-6.4,40,84.3359375,0.5890252999961376,-0.11903125,-6.5009375,8.460375,2.527125,0.48752489988692105,miss,0.1,48,sd,male,21,50,0.6
41,45,9.05096679918781,2.6509667991878096,0,0.48,0.48,1.92,1,12.8,0.5,-6.4,41,78.7849609375,0.5840519999619573,0.1648125,-5.9881875,8.725906250000001,2.55459375,0.390224999981001,hit,0.1,99,sd,male,21,50,0.6
42,45,9.05096679918781,2.6509667991878096,0,0.36,0.36,1.44,1,12.8,0.5,-6.4,42,86.510546875,1.0573231999296695,-0.13734375,-6.1530000000000005,9.05553125,2.7102500000000003,0.5418044999241829,hit,0.1,100,sd,male,21,50,0.6
43,45,9.05096679918781,2.6509667991878096,0,0.36,0.36,1.44,0,12.8,0.5,-6.4,43,92.233203125,1.0237765000201762,0.06409375,-6.7664687500000005,9.3943125,2.35315625,0.4759152000769973,hit,0.1,98,sd,male,21,50,0.6
44,45,9.05096679918781,2.6509667991878096,0,0.24,0.24,0.96,0,12.8,0.5,-6.4,44,91.54648437499999,0.8874848000705242,-0.10071875000000001,-6.80309375,9.38515625,2.7102500000000003,0.3918393000494689,miss,0.1,49,sd,male,21,50,0.6
45,135,-9.050966799187808,2.6509667991878096,0,0.24,0.24,0.96,0,12.8,0.5,-6.4,45,97.2119140625,0.6932413000613451,-0.036625,-6.30865625,-9.31190625,3.19553125,0.7920143001247197,no_response,0.1,-50,sd,male,21,50,0.6
46,135,-9.050966799187808,2.6509667991878096,0,0.36,0.36,1.44,1,12.8,0.5,-6.4,46,92.34765625,0.4056859000120312,0.02746875,-6.32696875,-9.80634375,3.72659375,0.42450389987789094,miss,0.1,45,sd,male,21,50,0.6
47,45,9.05096679918781,2.6509667991878096,0,0.48,0.48,1.92,1,12.8,0.5,-6.4,47,97.726953125,0.3750361001584679,0.0915625,-6.4002187500000005,9.88875,3.2870937500000004,0.341935999924317,miss,0.1,46,sd,male,21,50,0.6
48,135,-9.050966799187808,2.6509667991878096,0,0.24,0.24,0.96,0,12.8,0.5,-6.4,48,94.522265625,0.7689052999485284,-0.06409375,-6.3178125,-9.49503125,4.56896875,0.6177660999819636,no_response,0.1,-50,sd,male,21,50,0.6
49,45,9.05096679918781,2.6509667991878096,0,0.48,0.48,1.92,0,12.8,0.5,-6.4,49,100.0,0.5282455000560731,0.07325,-6.49178125,10.6395625,2.95746875,0.7972393999807537,no_response,0.1,-50,sd,male,21,50,0.6
50,135,-9.050966799187808,2.6509667991878096,0,0.48,0.48,1.92,1,12.8,0.5,-6.4,50,94.4078125,0.8076112000271678,0.1465,-5.9881875,-9.16540625,2.97578125,0.5238552000373602,hit,0.1,99,sd,male,21,50,0.6
51,45,9.05096679918781,2.6509667991878096,0,0.48,0.48,1.92,1,12.8,0.5,-6.4,51,83.7064453125,0.44707900006324053,0.35709375,-6.21709375,9.128781250000001,2.99409375,0.34524929989129305,hit,0.1,99,sd,male,21,50,0.6
