,theta,size_r,r,stp_size,stp_pos_y
0,135,0.6,10,0.5,-4
1,135,0.3,10,0.5,-4
2,45,0.9,10,0.5,-4
3,45,0.6,10,0.5,-4
4,135,0.45,10,0.5,-4
5,45,0.75,10,0.5,-4
6,135,0.75,10,0.5,-4
7,45,0.45,10,0.5,-4
8,45,0.3,10,0.5,-4
9,135,0.15,10,0.5,-4
10,135,0.15,10,0.5,-4
11,45,0.15,10,0.5,-4
12,135,0.75,10,0.5,-4
13,45,0.15,10,0.5,-4
14,45,0.75,10,0.5,-4
15,45,0.15,10,0.5,-4
16,45,0.9,10,0.5,-4
17,135,0.45,10,0.5,-4
18,135,0.9,10,0.5,-4
19,135,0.15,10,0.5,-4
20,135,0.6,10,0.5,-4
21,45,0.15,10,0.5,-4
22,45,0.6,10,0.5,-4
23,135,0.45,10,0.5,-4
24,45,0.75,10,0.5,-4
25,45,0.45,10,0.5,-4
26,135,0.3,10,0.5,-4
27,45,0.45,10,0.5,-4
28,135,0.15,10,0.5,-4
29,135,0.15,10,0.5,-4
30,45,0.9,10,0.5,-4
31,45,0.3,10,0.5,-4
32,45,0.15,10,0.5,-4
33,135,0.3,10,0.5,-4
34,45,0.45,10,0.5,-4
35,135,0.75,10,0.5,-4
36,45,0.3,10,0.5,-4
37,135,0.75,10,0.5,-4
38,135,0.75,10,0.5,-4
39,135,0.75,10,0.5,-4
40,135,0.15,10,0.5,-4
41,45,0.75,10,0.5,-4
42,135,0.3,10,0.5,-4
43,135,0.3,10,0.5,-4
44,45,0.6,10,0.5,-4
45,135,0.6,10,0.5,-4
46,135,0.9,10,0.5,-4
47,45,0.75,10,0.5,-4
48,135,0.3,10,0.5,-4
49,45,0.6,10,0.5,-4
50,45,0.6,10,0.5,-4
51,45,0.15,10,0.5,-4
52,135,0.45,10,0.5,-4
53,45,0.9,10,0.5,-4
54,45,0.6,10,0.5,-4
55,135,0.9,10,0.5,-4
56,135,0.9,10,0.5,-4
57,45,0.3,10,0.5,-4
58,135,0.9,10,0.5,-4
59,135,0.9,10,0.5,-4
60,45,0.3,10,0.5,-4
61,45,0.45,10,0.5,-4
62,45,0.75,10,0.5,-4
63,135,0.6,10,0.5,-4
64,45,0.9,10,0.5,-4
65,45,0.3,10,0.5,-4
66,45,0.45,10,0.5,-4
67,135,0.45,10,0.5,-4
68,135,0.6,10,0.5,-4
69,135,0.6,10,0.5,-4
70,45,0.9,10,0.5,-4
71,135,0.45,10,0.5,-4
